Part Family,Material,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
Z,4130,JFE Lion,Ni Plating,150.87072,42,4,0.6214222859,4.2,1.17,1.1, $ 506.78 
Y,4130,VAM TOP®,Ni Plating,314.314,56,5,0.6214222859,2.5,1.2,1.05, $ 615.26 
Y,4130,TenarisHydril Blue®,Phosphating,600.11523,33,9,0.6214222859,2.5,1.2,1.05," $ 1,174.71 "
Y,4130,JFE Lion,Cu Plating,549.60048,17,12,0.6214222859,2.5,1.2,1.05," $ 1,075.83 "
Y,4130,JFE Lion,Cu Plating,137.40012,68,3,0.6214222859,2.5,1.2,1.05, $ 268.96 
X,4130,JFE Lion,Phosphating,301.74144,21,8,0.6214222859,1.8,1.15,1.1, $ 426.96 
X,4130,JFE Lion,Phosphating,583.05247,53,7,0.6214222859,1.8,1.15,1.1, $ 825.01 
Z,4130,TenarisHydril Blue®,Phosphating,113.15304,56,3,0.6214222859,4.2,1.17,1.1, $ 380.09 
Z,4130,JFE Lion,Ni Plating,381.667,68,5,0.6214222859,4.2,1.17,1.1," $ 1,282.03 "
X,4130,VAM TOP®,Ni Plating,1000.19205,55,9,0.6214222859,1.8,1.15,1.1," $ 1,415.25 "
X,4130,TenarisHydril Blue®,Xylan Coating,862.1184,60,8,0.6214222859,1.8,1.15,1.1," $ 1,219.88 "
Y,4130,VAM TOP®,Carbide Coating,133.35894,66,3,0.6214222859,2.5,1.2,1.05, $ 261.05 
X,4130,VAM TOP®,Xylan Coating,2424.708,48,15,0.6214222859,1.8,1.15,1.1," $ 3,430.91 "
X,4130,JFE Lion,Ni Plating,581.92992,32,9,0.6214222859,1.8,1.15,1.1, $ 823.42 
Y,4130,VAM TOP®,Ni Plating,493.24847,13,13,0.6214222859,2.5,1.2,1.05, $ 965.52 
Z,4130,TenarisHydril Blue®,Xylan Coating,1422.49536,44,12,0.6214222859,4.2,1.17,1.1," $ 4,778.21 "
X,4130,TenarisHydril Blue®,Cu Plating,341.03069,31,7,0.6214222859,1.8,1.15,1.1, $ 482.55 
X,4130,JFE Lion,Phosphating,51.18828,57,2,0.6214222859,1.8,1.15,1.1, $ 72.43 
Z,4130,VAM TOP®,Cu Plating,9.87844,11,2,0.6214222859,4.2,1.17,1.1, $ 33.18 
X,4130,VAM TOP®,Ni Plating,57.47456,4,8,0.6214222859,1.8,1.15,1.1, $ 81.33 
X,4130,VAM TOP®,Carbide Coating,605.05445,55,7,0.6214222859,1.8,1.15,1.1, $ 856.14 
Y,4130,JFE Lion,Xylan Coating,40.4118,20,3,0.6214222859,2.5,1.2,1.05, $ 79.11 
X,4130,VAM TOP®,Cu Plating,896.46843,33,11,0.6214222859,1.8,1.15,1.1," $ 1,268.48 "
X,4130,TenarisHydril Blue®,Ni Plating,1818.531,36,15,0.6214222859,1.8,1.15,1.1," $ 2,573.18 "
Z,4130,TenarisHydril Blue®,Cu Plating,218.89725,39,5,0.6214222859,4.2,1.17,1.1, $ 735.28 
Y,4130,VAM TOP®,Carbide Coating,108.66284,4,11,0.6214222859,2.5,1.2,1.05, $ 212.71 
Z,4130,JFE Lion,Carbide Coating,3046.15168,53,16,0.6214222859,4.2,1.17,1.1," $ 10,232.13 "
Z,4130,JFE Lion,Ni Plating,64.65888,72,2,0.6214222859,4.2,1.17,1.1, $ 217.19 
Y,4130,TenarisHydril Blue®,Cu Plating,1907.43696,59,12,0.6214222859,2.5,1.2,1.05," $ 3,733.77 "
Y,4130,VAM TOP®,Carbide Coating,656.69175,13,15,0.6214222859,2.5,1.2,1.05," $ 1,285.46 "
X,4130,JFE Lion,Xylan Coating,2731.83768,72,13,0.6214222859,1.8,1.15,1.1," $ 3,865.49 "
Z,4130,JFE Lion,Cu Plating,1100.099,49,10,0.6214222859,4.2,1.17,1.1," $ 3,695.27 "
X,4130,VAM TOP®,Carbide Coating,30.30885,15,3,0.6214222859,1.8,1.15,1.1, $ 42.89 
Z,4130,VAM TOP®,Cu Plating,49.3922,55,2,0.6214222859,4.2,1.17,1.1, $ 165.91 
X,4130,TenarisHydril Blue®,Cu Plating,2200.64702,58,13,0.6214222859,1.8,1.15,1.1," $ 3,113.87 "
X,4130,VAM TOP®,Xylan Coating,179.608,32,5,0.6214222859,1.8,1.15,1.1, $ 254.14 
Y,4130,VAM TOP®,Xylan Coating,88.00792,8,7,0.6214222859,2.5,1.2,1.05, $ 172.27 
Y,4130,VAM TOP®,Ni Plating,122.13344,34,4,0.6214222859,2.5,1.2,1.05, $ 239.07 
Y,4130,JFE Lion,Xylan Coating,1412.61692,52,11,0.6214222859,2.5,1.2,1.05," $ 2,765.17 "
X,4130,JFE Lion,Xylan Coating,48.49416,54,2,0.6214222859,1.8,1.15,1.1, $ 68.62 
X,4130,VAM TOP®,Carbide Coating,1593.57198,42,13,0.6214222859,1.8,1.15,1.1," $ 2,254.87 "
Z,4130,VAM TOP®,Xylan Coating,48.49416,24,3,0.6214222859,4.2,1.17,1.1, $ 162.89 
X,4130,TenarisHydril Blue®,Phosphating,242.02178,22,7,0.6214222859,1.8,1.15,1.1, $ 342.46 
X,4130,JFE Lion,Cu Plating,2020.59,40,15,0.6214222859,1.8,1.15,1.1," $ 2,859.09 "
Z,4130,JFE Lion,Xylan Coating,1818.531,36,15,0.6214222859,4.2,1.17,1.1," $ 6,108.51 "
Z,4130,TenarisHydril Blue®,Xylan Coating,847.74976,59,8,0.6214222859,4.2,1.17,1.1," $ 2,847.62 "
Z,4130,JFE Lion,Phosphating,404.118,18,10,0.6214222859,4.2,1.17,1.1," $ 1,357.45 "
X,4130,JFE Lion,Ni Plating,420.28272,13,12,0.6214222859,1.8,1.15,1.1, $ 594.69 
Y,4130,JFE Lion,Ni Plating,834.72818,22,13,0.6214222859,2.5,1.2,1.05," $ 1,633.96 "
Z,4130,JFE Lion,Xylan Coating,2528.88064,44,16,0.6214222859,4.2,1.17,1.1," $ 8,494.60 "
Y,4130,JFE Lion,Ni Plating,404.118,50,6,0.6214222859,2.5,1.2,1.05, $ 791.05 
Y,4130,TenarisHydril Blue®,Cu Plating,549.60048,68,6,0.6214222859,2.5,1.2,1.05," $ 1,075.83 "
X,4130,VAM TOP®,Xylan Coating,355.62384,11,12,0.6214222859,1.8,1.15,1.1, $ 503.20 
Y,4130,TenarisHydril Blue®,Xylan Coating,2420.2178,55,14,0.6214222859,2.5,1.2,1.05," $ 4,737.53 "
Y,4130,VAM TOP®,Cu Plating,55.00495,5,7,0.6214222859,2.5,1.2,1.05, $ 107.67 
X,4130,VAM TOP®,Cu Plating,1648.80144,51,12,0.6214222859,1.8,1.15,1.1," $ 2,333.02 "
Z,4130,TenarisHydril Blue®,Carbide Coating,117.19422,58,3,0.6214222859,4.2,1.17,1.1, $ 393.66 
X,4130,VAM TOP®,Xylan Coating,905.22432,28,12,0.6214222859,1.8,1.15,1.1," $ 1,280.87 "
Y,4130,VAM TOP®,Phosphating,25.14512,7,4,0.6214222859,2.5,1.2,1.05, $ 49.22 
Y,4130,VAM TOP®,Carbide Coating,46.47357,23,3,0.6214222859,2.5,1.2,1.05, $ 90.97 
X,4130,JFE Lion,Cu Plating,106.64225,19,5,0.6214222859,1.8,1.15,1.1, $ 150.90 
X,4130,VAM TOP®,Carbide Coating,1907.43696,59,12,0.6214222859,1.8,1.15,1.1," $ 2,698.98 "
Y,4130,VAM TOP®,Phosphating,2428.30016,64,13,0.6214222859,2.5,1.2,1.05," $ 4,753.35 "
Y,4130,TenarisHydril Blue®,Xylan Coating,3131.9145,62,15,0.6214222859,2.5,1.2,1.05," $ 6,130.66 "
X,4130,TenarisHydril Blue®,Ni Plating,1928.76541,71,11,0.6214222859,1.8,1.15,1.1," $ 2,729.16 "
X,4130,TenarisHydril Blue®,Phosphating,22.451,4,5,0.6214222859,1.8,1.15,1.1, $ 31.77 
X,4130,VAM TOP®,Ni Plating,516.14849,19,11,0.6214222859,1.8,1.15,1.1, $ 730.34 
Z,4130,JFE Lion,Ni Plating,121.01089,11,7,0.6214222859,4.2,1.17,1.1, $ 406.48 
Y,4130,TenarisHydril Blue®,Carbide Coating,219.12176,61,4,0.6214222859,2.5,1.2,1.05, $ 428.93 
Y,4130,TenarisHydril Blue®,Cu Plating,165.23936,46,4,0.6214222859,2.5,1.2,1.05, $ 323.45 
Z,4130,TenarisHydril Blue®,Cu Plating,68.25104,19,4,0.6214222859,4.2,1.17,1.1, $ 229.26 
Z,4130,VAM TOP®,Xylan Coating,1555.62979,41,13,0.6214222859,4.2,1.17,1.1," $ 5,225.42 "
X,4130,JFE Lion,Carbide Coating,96.98832,27,4,0.6214222859,1.8,1.15,1.1, $ 137.24 
Z,4130,JFE Lion,Phosphating,145.9315,26,5,0.6214222859,4.2,1.17,1.1, $ 490.19 
X,4130,TenarisHydril Blue®,Phosphating,161.6472,5,12,0.6214222859,1.8,1.15,1.1, $ 228.73 
Z,4130,TenarisHydril Blue®,Phosphating,1032.29698,38,11,0.6214222859,4.2,1.17,1.1," $ 3,467.52 "
Y,4130,VAM TOP®,Cu Plating,965.393,43,10,0.6214222859,2.5,1.2,1.05," $ 1,889.74 "
X,4130,JFE Lion,Xylan Coating,8.9804,10,2,0.6214222859,1.8,1.15,1.1, $ 12.71 
Y,4130,JFE Lion,Carbide Coating,876.48704,61,8,0.6214222859,2.5,1.2,1.05," $ 1,715.71 "
Y,4130,JFE Lion,Xylan Coating,2475.22275,49,15,0.6214222859,2.5,1.2,1.05," $ 4,845.20 "
X,4130,TenarisHydril Blue®,Carbide Coating,1738.60544,64,11,0.6214222859,1.8,1.15,1.1," $ 2,460.09 "
Y,4130,JFE Lion,Carbide Coating,5.38824,6,2,0.6214222859,2.5,1.2,1.05, $ 10.55 
Y,4130,TenarisHydril Blue®,Ni Plating,1820.10257,67,11,0.6214222859,2.5,1.2,1.05," $ 3,562.81 "
Z,4130,VAM TOP®,Carbide Coating,1272.9717,70,9,0.6214222859,4.2,1.17,1.1," $ 4,275.96 "
X,4130,JFE Lion,Xylan Coating,44.00396,4,7,0.6214222859,1.8,1.15,1.1, $ 62.26 
X,4130,TenarisHydril Blue®,Carbide Coating,2576.25225,51,15,0.6214222859,1.8,1.15,1.1," $ 3,645.34 "
X,4130,VAM TOP®,Phosphating,28.73728,8,4,0.6214222859,1.8,1.15,1.1, $ 40.66 
X,4130,JFE Lion,Carbide Coating,493.24847,13,13,0.6214222859,1.8,1.15,1.1, $ 697.94 
Z,4130,TenarisHydril Blue®,Carbide Coating,2069.08416,36,16,0.6214222859,4.2,1.17,1.1," $ 6,950.13 "
Z,4130,VAM TOP®,Phosphating,135.37953,67,3,0.6214222859,4.2,1.17,1.1, $ 454.74 
X,4130,VAM TOP®,Carbide Coating,1717.5015,34,15,0.6214222859,1.8,1.15,1.1," $ 2,430.23 "
X,4130,JFE Lion,Carbide Coating,82.61968,23,4,0.6214222859,1.8,1.15,1.1, $ 116.91 
Z,4130,JFE Lion,Ni Plating,969.8832,30,12,0.6214222859,4.2,1.17,1.1," $ 3,257.87 "
X,4130,JFE Lion,Carbide Coating,2314.47359,61,13,0.6214222859,1.8,1.15,1.1," $ 3,274.93 "
Z,4130,VAM TOP®,Phosphating,426.569,19,10,0.6214222859,4.2,1.17,1.1," $ 1,432.86 "
Y,4130,JFE Lion,Xylan Coating,3030.885,60,15,0.6214222859,2.5,1.2,1.05," $ 5,932.90 "
Z,4130,VAM TOP®,Ni Plating,1551.81312,27,16,0.6214222859,4.2,1.17,1.1," $ 5,212.60 "
Z,4130,TenarisHydril Blue®,Cu Plating,1034.54208,72,8,0.6214222859,4.2,1.17,1.1," $ 3,475.06 "
Y,4130,JFE Lion,Carbide Coating,280.6375,50,5,0.6214222859,2.5,1.2,1.05, $ 549.34 
Y,4130,JFE Lion,Carbide Coating,1010.295,20,15,0.6214222859,2.5,1.2,1.05," $ 1,977.63 "
Z,4130,VAM TOP®,Phosphating,1313.3835,26,15,0.6214222859,4.2,1.17,1.1," $ 4,411.70 "
Y,4130,VAM TOP®,Ni Plating,381.89151,21,9,0.6214222859,2.5,1.2,1.05, $ 747.55 
Y,4130,TenarisHydril Blue®,Cu Plating,2112.19008,48,14,0.6214222859,2.5,1.2,1.05," $ 4,134.57 "
X,4130,VAM TOP®,Carbide Coating,24.24708,12,3,0.6214222859,1.8,1.15,1.1, $ 34.31 
Z,4130,VAM TOP®,Ni Plating,100.58048,28,4,0.6214222859,4.2,1.17,1.1, $ 337.85 
Z,4130,TenarisHydril Blue®,Cu Plating,143.46189,71,3,0.6214222859,4.2,1.17,1.1, $ 481.89 
Y,4130,TenarisHydril Blue®,Xylan Coating,1313.3835,26,15,0.6214222859,2.5,1.2,1.05," $ 2,570.92 "
Y,4130,JFE Lion,Phosphating,1228.51872,38,12,0.6214222859,2.5,1.2,1.05," $ 2,404.80 "
Z,4130,TenarisHydril Blue®,Cu Plating,9.87844,11,2,0.6214222859,4.2,1.17,1.1, $ 33.18 
X,4130,VAM TOP®,Phosphating,75.43536,21,4,0.6214222859,1.8,1.15,1.1, $ 106.74 
X,4130,JFE Lion,Carbide Coating,13.4706,15,2,0.6214222859,1.8,1.15,1.1, $ 19.06 
X,4130,JFE Lion,Ni Plating,3678.37184,64,16,0.6214222859,1.8,1.15,1.1," $ 5,204.82 "
X,4130,TenarisHydril Blue®,Ni Plating,1099.20096,34,12,0.6214222859,1.8,1.15,1.1," $ 1,555.35 "
X,4130,TenarisHydril Blue®,Ni Plating,968.08712,22,14,0.6214222859,1.8,1.15,1.1," $ 1,369.82 "
Z,4130,VAM TOP®,Phosphating,1002.21264,31,12,0.6214222859,4.2,1.17,1.1," $ 3,366.47 "
Z,4130,VAM TOP®,Ni Plating,2640.2376,60,14,0.6214222859,4.2,1.17,1.1," $ 8,868.65 "
Y,4130,JFE Lion,Ni Plating,2020.59,40,15,0.6214222859,2.5,1.2,1.05," $ 3,955.26 "
Y,4130,JFE Lion,Carbide Coating,161.6472,20,6,0.6214222859,2.5,1.2,1.05, $ 316.42 
Z,4130,JFE Lion,Xylan Coating,747.16928,13,16,0.6214222859,4.2,1.17,1.1," $ 2,509.77 "
X,4130,VAM TOP®,Cu Plating,2980.37025,59,15,0.6214222859,1.8,1.15,1.1," $ 4,217.16 "
X,4130,VAM TOP®,Ni Plating,201.16096,14,8,0.6214222859,1.8,1.15,1.1, $ 284.64 
Z,4130,JFE Lion,Cu Plating,638.05742,58,7,0.6214222859,4.2,1.17,1.1," $ 2,143.26 "
Y,4130,JFE Lion,Ni Plating,2356.45696,41,16,0.6214222859,2.5,1.2,1.05," $ 4,612.72 "
Z,4130,VAM TOP®,Carbide Coating,472.81806,26,9,0.6214222859,4.2,1.17,1.1," $ 1,588.21 "
X,4130,VAM TOP®,Phosphating,418.26213,23,9,0.6214222859,1.8,1.15,1.1, $ 591.83 
Z,4130,VAM TOP®,Xylan Coating,17.9608,20,2,0.6214222859,4.2,1.17,1.1, $ 60.33 
X,4130,VAM TOP®,Carbide Coating,517.27104,64,6,0.6214222859,1.8,1.15,1.1, $ 731.93 
Y,4130,VAM TOP®,Xylan Coating,196.44625,35,5,0.6214222859,2.5,1.2,1.05, $ 384.54 
Y,4130,JFE Lion,Carbide Coating,1584.14256,49,12,0.6214222859,2.5,1.2,1.05," $ 3,100.93 "
Y,4130,VAM TOP®,Cu Plating,2816.25344,49,16,0.6214222859,2.5,1.2,1.05," $ 5,512.76 "
Z,4130,JFE Lion,Phosphating,1252.09227,33,13,0.6214222859,4.2,1.17,1.1," $ 4,205.82 "
Z,4130,JFE Lion,Carbide Coating,339.45912,42,6,0.6214222859,4.2,1.17,1.1," $ 1,140.26 "
X,4130,VAM TOP®,Cu Plating,113.15304,56,3,0.6214222859,1.8,1.15,1.1, $ 160.11 
Y,4130,JFE Lion,Phosphating,57.47456,4,8,0.6214222859,2.5,1.2,1.05, $ 112.51 
X,4130,TenarisHydril Blue®,Cu Plating,255.04336,71,4,0.6214222859,1.8,1.15,1.1, $ 360.88 
X,4130,JFE Lion,Ni Plating,3080.2772,70,14,0.6214222859,1.8,1.15,1.1," $ 4,358.53 "
Y,4130,TenarisHydril Blue®,Carbide Coating,1629.9426,60,11,0.6214222859,2.5,1.2,1.05," $ 3,190.58 "
X,4130,VAM TOP®,Phosphating,476.85924,59,6,0.6214222859,1.8,1.15,1.1, $ 674.75 
Z,4130,JFE Lion,Xylan Coating,54.55593,27,3,0.6214222859,4.2,1.17,1.1, $ 183.26 
Z,4130,VAM TOP®,Phosphating,1218.41577,67,9,0.6214222859,4.2,1.17,1.1," $ 4,092.70 "
Y,4130,TenarisHydril Blue®,Xylan Coating,2988.67712,52,16,0.6214222859,2.5,1.2,1.05," $ 5,850.28 "
Y,4130,VAM TOP®,Cu Plating,344.84736,24,8,0.6214222859,2.5,1.2,1.05, $ 675.03 
X,4130,JFE Lion,Ni Plating,39.51376,11,4,0.6214222859,1.8,1.15,1.1, $ 55.91 
Y,4130,TenarisHydril Blue®,Phosphating,105.07068,13,6,0.6214222859,2.5,1.2,1.05, $ 205.67 
Y,4130,TenarisHydril Blue®,Phosphating,624.81133,23,11,0.6214222859,2.5,1.2,1.05," $ 1,223.06 "
X,4130,VAM TOP®,Phosphating,1113.79411,41,11,0.6214222859,1.8,1.15,1.1," $ 1,575.99 "
Y,4130,VAM TOP®,Carbide Coating,253.02277,23,7,0.6214222859,2.5,1.2,1.05, $ 495.29 
Z,4130,TenarisHydril Blue®,Carbide Coating,347.54148,43,6,0.6214222859,4.2,1.17,1.1," $ 1,167.40 "
Z,4130,TenarisHydril Blue®,Carbide Coating,572.05148,52,7,0.6214222859,4.2,1.17,1.1," $ 1,921.54 "
X,4130,TenarisHydril Blue®,Xylan Coating,169.72956,21,6,0.6214222859,1.8,1.15,1.1, $ 240.16 
Z,4130,VAM TOP®,Xylan Coating,211.93744,59,4,0.6214222859,4.2,1.17,1.1, $ 711.91 
X,4130,JFE Lion,Cu Plating,468.77688,58,6,0.6214222859,1.8,1.15,1.1, $ 663.31 
Z,4130,TenarisHydril Blue®,Cu Plating,790.2752,55,8,0.6214222859,4.2,1.17,1.1," $ 2,654.56 "
Y,4130,TenarisHydril Blue®,Carbide Coating,301.74144,21,8,0.6214222859,2.5,1.2,1.05, $ 590.65 
X,4130,JFE Lion,Xylan Coating,16.16472,18,2,0.6214222859,1.8,1.15,1.1, $ 22.87 
Y,4130,TenarisHydril Blue®,Phosphating,1005.13127,37,11,0.6214222859,2.5,1.2,1.05," $ 1,967.52 "
Z,4130,JFE Lion,Xylan Coating,201.16096,56,4,0.6214222859,4.2,1.17,1.1, $ 675.71 
Y,4130,JFE Lion,Ni Plating,420.28272,52,6,0.6214222859,2.5,1.2,1.05, $ 822.70 
Z,4130,VAM TOP®,Cu Plating,363.7062,45,6,0.6214222859,4.2,1.17,1.1," $ 1,221.70 "
Y,4130,JFE Lion,Carbide Coating,2552.22968,58,14,0.6214222859,2.5,1.2,1.05," $ 4,995.94 "
X,4130,VAM TOP®,Ni Plating,1540.1386,35,14,0.6214222859,1.8,1.15,1.1," $ 2,179.26 "
Z,4130,TenarisHydril Blue®,Cu Plating,1260.84816,39,12,0.6214222859,4.2,1.17,1.1," $ 4,235.23 "
Y,4130,JFE Lion,Cu Plating,99.00891,9,7,0.6214222859,2.5,1.2,1.05, $ 193.81 
Z,4130,TenarisHydril Blue®,Carbide Coating,948.33024,66,8,0.6214222859,4.2,1.17,1.1," $ 3,185.48 "
X,4130,VAM TOP®,Ni Plating,847.74976,59,8,0.6214222859,1.8,1.15,1.1," $ 1,199.55 "
Z,4130,TenarisHydril Blue®,Ni Plating,2263.0608,70,12,0.6214222859,4.2,1.17,1.1," $ 7,601.70 "
Z,4130,VAM TOP®,Xylan Coating,70.72065,35,3,0.6214222859,4.2,1.17,1.1, $ 237.55 
X,4130,TenarisHydril Blue®,Xylan Coating,136.50208,38,4,0.6214222859,1.8,1.15,1.1, $ 193.15 
X,4130,JFE Lion,Xylan Coating,204.75312,57,4,0.6214222859,1.8,1.15,1.1, $ 289.72 
Z,4130,JFE Lion,Ni Plating,1010.295,45,10,0.6214222859,4.2,1.17,1.1," $ 3,393.62 "
Y,4130,TenarisHydril Blue®,Carbide Coating,1018.37736,56,9,0.6214222859,2.5,1.2,1.05," $ 1,993.45 "
Z,4130,VAM TOP®,Ni Plating,472.81806,26,9,0.6214222859,4.2,1.17,1.1," $ 1,588.21 "
Z,4130,VAM TOP®,Ni Plating,319.92675,57,5,0.6214222859,4.2,1.17,1.1," $ 1,074.65 "
Z,4130,JFE Lion,Xylan Coating,733.47417,27,11,0.6214222859,4.2,1.17,1.1," $ 2,463.77 "
Z,4130,TenarisHydril Blue®,Xylan Coating,1000.19205,55,9,0.6214222859,4.2,1.17,1.1," $ 3,359.68 "
Z,4130,JFE Lion,Cu Plating,207.67175,37,5,0.6214222859,4.2,1.17,1.1, $ 697.58 
Z,4130,VAM TOP®,Xylan Coating,920.491,41,10,0.6214222859,4.2,1.17,1.1," $ 3,091.96 "
Z,4130,TenarisHydril Blue®,Carbide Coating,52.08632,58,2,0.6214222859,4.2,1.17,1.1, $ 174.96 
Z,4130,JFE Lion,Phosphating,937.55376,29,12,0.6214222859,4.2,1.17,1.1," $ 3,149.28 "
Z,4130,TenarisHydril Blue®,Xylan Coating,44.902,8,5,0.6214222859,4.2,1.17,1.1, $ 150.83 
Y,4130,JFE Lion,Phosphating,33.22748,37,2,0.6214222859,2.5,1.2,1.05, $ 65.04 
Y,4130,JFE Lion,Xylan Coating,75.43536,21,4,0.6214222859,2.5,1.2,1.05, $ 147.66 
X,4130,JFE Lion,Carbide Coating,589.11424,41,8,0.6214222859,1.8,1.15,1.1, $ 833.58 
Y,4130,VAM TOP®,Phosphating,396.03564,36,7,0.6214222859,2.5,1.2,1.05, $ 775.23 
Y,4130,VAM TOP®,Cu Plating,8.9804,10,2,0.6214222859,2.5,1.2,1.05, $ 17.58 
Y,4130,JFE Lion,Cu Plating,59.27064,66,2,0.6214222859,2.5,1.2,1.05, $ 116.02 
Z,4130,JFE Lion,Cu Plating,202.059,4,15,0.6214222859,4.2,1.17,1.1, $ 678.72 
Y,4130,JFE Lion,Xylan Coating,2376.21384,54,14,0.6214222859,2.5,1.2,1.05," $ 4,651.39 "
Z,4130,TenarisHydril Blue®,Carbide Coating,158.05504,44,4,0.6214222859,4.2,1.17,1.1, $ 530.91 
Y,4130,VAM TOP®,Carbide Coating,963.82143,53,9,0.6214222859,2.5,1.2,1.05," $ 1,886.66 "
Y,4130,TenarisHydril Blue®,Xylan Coating,101.0295,50,3,0.6214222859,2.5,1.2,1.05, $ 197.76 
Z,4130,VAM TOP®,Cu Plating,763.78302,42,9,0.6214222859,4.2,1.17,1.1," $ 2,565.57 "
Z,4130,TenarisHydril Blue®,Cu Plating,927.45081,51,9,0.6214222859,4.2,1.17,1.1," $ 3,115.34 "
Y,4130,TenarisHydril Blue®,Xylan Coating,2162.70483,57,13,0.6214222859,2.5,1.2,1.05," $ 4,233.45 "
Z,4130,TenarisHydril Blue®,Cu Plating,1479.74541,39,13,0.6214222859,4.2,1.17,1.1," $ 4,970.52 "
Y,4130,VAM TOP®,Carbide Coating,64.65888,32,3,0.6214222859,2.5,1.2,1.05, $ 126.57 
Y,4130,VAM TOP®,Xylan Coating,308.02772,28,7,0.6214222859,2.5,1.2,1.05, $ 602.96 
Z,4130,JFE Lion,Phosphating,452.61216,56,6,0.6214222859,4.2,1.17,1.1," $ 1,520.34 "
Z,4130,JFE Lion,Carbide Coating,2542.12673,67,13,0.6214222859,4.2,1.17,1.1," $ 8,539.10 "
Z,4130,VAM TOP®,Xylan Coating,1414.413,63,10,0.6214222859,4.2,1.17,1.1," $ 4,751.06 "
Z,4130,VAM TOP®,Cu Plating,43.10592,12,4,0.6214222859,4.2,1.17,1.1, $ 144.79 
Z,4130,TenarisHydril Blue®,Ni Plating,517.27104,9,16,0.6214222859,4.2,1.17,1.1," $ 1,737.53 "
Z,4130,TenarisHydril Blue®,Phosphating,140.09424,39,4,0.6214222859,4.2,1.17,1.1, $ 470.58 
Y,4130,JFE Lion,Cu Plating,72.74124,36,3,0.6214222859,2.5,1.2,1.05, $ 142.39 
Z,4130,TenarisHydril Blue®,Xylan Coating,2504.18454,66,13,0.6214222859,4.2,1.17,1.1," $ 8,411.65 "
Y,4130,JFE Lion,Phosphating,2731.83768,72,13,0.6214222859,2.5,1.2,1.05," $ 5,347.52 "
Z,4130,JFE Lion,Xylan Coating,2133.74304,66,12,0.6214222859,4.2,1.17,1.1," $ 7,167.32 "
Z,4130,JFE Lion,Cu Plating,125.7256,35,4,0.6214222859,4.2,1.17,1.1, $ 422.32 
Z,4130,TenarisHydril Blue®,Phosphating,1020.17344,71,8,0.6214222859,4.2,1.17,1.1," $ 3,426.80 "
Z,4130,VAM TOP®,Ni Plating,50.51475,25,3,0.6214222859,4.2,1.17,1.1, $ 169.68 
Z,4130,TenarisHydril Blue®,Phosphating,3103.62624,54,16,0.6214222859,4.2,1.17,1.1," $ 10,425.19 "
Z,4130,TenarisHydril Blue®,Phosphating,36.37062,18,3,0.6214222859,4.2,1.17,1.1, $ 122.17 
Z,4130,VAM TOP®,Xylan Coating,34.35003,17,3,0.6214222859,4.2,1.17,1.1, $ 115.38 
Z,4130,JFE Lion,Phosphating,290.96496,16,9,0.6214222859,4.2,1.17,1.1, $ 977.36 
Z,4130,JFE Lion,Ni Plating,3030.885,60,15,0.6214222859,4.2,1.17,1.1," $ 10,180.85 "
Z,4130,VAM TOP®,Cu Plating,2640.2376,60,14,0.6214222859,4.2,1.17,1.1," $ 8,868.65 "
Z,4130,VAM TOP®,Carbide Coating,44.902,8,5,0.6214222859,4.2,1.17,1.1, $ 150.83 
Z,4130,VAM TOP®,Carbide Coating,297.02673,27,7,0.6214222859,4.2,1.17,1.1, $ 997.72 
