Part Family,Material,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
Z,4130,TenarisHydril Blue®,Ni Plating,689.69472,48,8,0.6214222859,1.0,1.9,1.0," $ 2,316.71 "
X,4130,JFE Lion,Cu Plating,21.55296,24,2,0.6214222859,1.2,1.4,1.4, $ 30.50 
Y,4130,TenarisHydril Blue®,Phosphating,1810.44864,56,12,0.6214222859,1.7,1.2,1.4," $ 3,543.92 "
Z,F22,VAM TOP®,Cu Plating,758.8438,20,13,0.8300750243,1.8,1.4,1.1," $ 3,404.85 "
Z,F22,JFE Lion,Ni Plating,2004.42528,62,12,0.8300750243,2.0,1.2,1.5," $ 8,993.63 "
Z,4130,VAM TOP®,Ni Plating,472.81806,26,9,0.6214222859,1.6,1.6,1.3," $ 1,588.21 "
Y,F22,JFE Lion,Xylan Coating,263.79925,47,5,0.8300750243,1.8,1.1,1.9, $ 689.77 
X,4130,JFE Lion,Phosphating,574.7456,10,16,0.6214222859,1.9,1.4,1.3, $ 813.25 
Z,4130,VAM TOP®,Ni Plating,258.63552,18,8,0.6214222859,1.5,1.2,1.0, $ 868.77 
X,F22,TenarisHydril Blue®,Ni Plating,297.02673,27,7,0.8300750243,1.9,1.8,1.8, $ 561.40 
Y,F22,JFE Lion,Phosphating,959.78025,19,15,0.8300750243,1.3,1.4,1.6," $ 2,509.57 "
Y,F22,TenarisHydril Blue®,Phosphating,78.80301,39,3,0.8300750243,1.5,1.1,1.5, $ 206.05 
Y,4130,TenarisHydril Blue®,Carbide Coating,3276.04992,57,16,0.6214222859,1.2,1.7,2.0," $ 6,412.80 "
X,4130,TenarisHydril Blue®,Xylan Coating,459.79648,32,8,0.6214222859,1.0,1.4,1.6, $ 650.60 
X,F22,TenarisHydril Blue®,Carbide Coating,1149.4912,20,16,0.8300750243,1.9,1.0,1.0," $ 2,172.63 "
Y,4130,JFE Lion,Ni Plating,969.8832,30,12,0.6214222859,1.5,1.3,1.8," $ 1,898.53 "
X,F22,VAM TOP®,Xylan Coating,3081.39975,61,15,0.8300750243,1.1,1.7,1.1," $ 5,824.09 "
X,F22,VAM TOP®,Cu Plating,78.5785,14,5,0.8300750243,1.6,2.0,1.2, $ 148.52 
X,F22,VAM TOP®,Cu Plating,255.04336,71,4,0.8300750243,1.4,1.3,1.1, $ 482.05 
Z,F22,VAM TOP®,Phosphating,1459.315,65,10,0.8300750243,1.4,1.6,1.4," $ 6,547.78 "
X,4130,JFE Lion,Cu Plating,1012.09108,23,14,0.6214222859,1.5,1.6,1.0," $ 1,432.09 "
Z,4130,JFE Lion,Cu Plating,760.63988,28,11,0.6214222859,1.7,1.7,1.5," $ 2,555.02 "
Y,4130,JFE Lion,Cu Plating,2071.10475,41,15,0.6214222859,1.1,1.2,1.2," $ 4,054.15 "
Y,4130,TenarisHydril Blue®,Carbide Coating,1391.962,62,10,0.6214222859,2.0,1.4,1.7," $ 2,724.74 "
Y,4130,JFE Lion,Cu Plating,303.53752,8,13,0.6214222859,1.6,1.3,1.6, $ 594.17 
Y,F22,VAM TOP®,Cu Plating,1548.44547,57,11,0.8300750243,1.7,1.3,1.5," $ 4,048.78 "
Z,4130,JFE Lion,Carbide Coating,572.05148,52,7,0.6214222859,1.9,1.7,1.2," $ 1,921.54 "
Y,F22,TenarisHydril Blue®,Carbide Coating,17.9608,20,2,0.8300750243,1.2,1.2,1.7, $ 46.96 
Y,F22,TenarisHydril Blue®,Phosphating,920.491,41,10,0.8300750243,1.6,1.7,1.6," $ 2,406.84 "
X,4130,JFE Lion,Ni Plating,3485.51775,69,15,0.6214222859,1.3,1.5,1.8," $ 4,931.93 "
X,4130,TenarisHydril Blue®,Carbide Coating,3333.52448,58,16,0.6214222859,1.7,1.6,1.0," $ 4,716.87 "
Z,4130,TenarisHydril Blue®,Carbide Coating,33.6765,6,5,0.6214222859,1.4,1.3,1.2, $ 113.12 
Y,F22,JFE Lion,Ni Plating,740.883,33,10,0.8300750243,1.6,2.0,1.6," $ 1,937.21 "
Y,4130,TenarisHydril Blue®,Ni Plating,1249.62266,46,11,0.6214222859,1.7,1.3,1.5," $ 2,446.11 "
X,F22,TenarisHydril Blue®,Carbide Coating,488.98278,18,11,0.8300750243,1.9,1.6,1.2, $ 924.22 
X,4130,JFE Lion,Ni Plating,2011.6096,35,16,0.6214222859,1.7,1.2,1.3," $ 2,846.38 "
Z,F22,TenarisHydril Blue®,Carbide Coating,52.98436,59,2,0.8300750243,1.9,1.7,1.6, $ 237.73 
Z,4130,TenarisHydril Blue®,Xylan Coating,396.03564,36,7,0.6214222859,1.3,1.1,1.7," $ 1,330.30 "
X,F22,JFE Lion,Carbide Coating,2992.26928,68,14,0.8300750243,1.6,1.7,1.9," $ 5,655.63 "
Z,F22,JFE Lion,Xylan Coating,1907.43696,59,12,0.8300750243,1.9,1.3,1.6," $ 8,558.46 "
Z,F22,VAM TOP®,Cu Plating,1648.80144,51,12,0.8300750243,1.7,1.4,1.7," $ 7,397.99 "
Y,4130,TenarisHydril Blue®,Ni Plating,299.04732,37,6,0.6214222859,1.8,1.0,1.2, $ 585.38 
Y,F22,VAM TOP®,Carbide Coating,656.69175,13,15,0.8300750243,1.2,1.3,1.6," $ 1,717.08 "
X,4130,JFE Lion,Ni Plating,451.04059,41,7,0.6214222859,1.2,1.7,1.9, $ 638.21 
X,F22,TenarisHydril Blue®,Ni Plating,57.47456,16,4,0.8300750243,1.2,1.2,1.0, $ 108.63 
Y,F22,JFE Lion,Cu Plating,189.71095,5,13,0.8300750243,1.3,1.9,1.6, $ 496.04 
X,F22,JFE Lion,Carbide Coating,79.02752,22,4,0.8300750243,1.5,1.3,1.3, $ 149.37 
Z,4130,JFE Lion,Carbide Coating,153.56484,19,6,0.6214222859,1.0,1.7,1.6, $ 515.83 
X,F22,JFE Lion,Cu Plating,2374.19325,47,15,0.8300750243,1.6,1.1,1.1," $ 4,487.42 "
Z,F22,TenarisHydril Blue®,Cu Plating,28.73728,32,2,0.8300750243,2.0,1.2,1.3, $ 128.94 
Z,F22,VAM TOP®,Carbide Coating,60.16868,67,2,0.8300750243,1.6,1.4,1.7, $ 269.97 
Z,4130,VAM TOP®,Xylan Coating,1549.119,69,10,0.6214222859,1.6,1.9,2.0," $ 5,203.55 "
X,F22,JFE Lion,Carbide Coating,23.34904,26,2,0.8300750243,1.1,1.3,1.5, $ 44.13 
X,F22,TenarisHydril Blue®,Cu Plating,1928.76541,71,11,0.8300750243,1.2,1.0,1.0," $ 3,645.52 "
Y,4130,TenarisHydril Blue®,Ni Plating,880.0792,20,14,0.6214222859,1.4,1.8,1.7," $ 1,722.74 "
Y,4130,JFE Lion,Carbide Coating,286.02574,26,7,0.6214222859,1.5,1.9,1.7, $ 559.89 
Y,F22,VAM TOP®,Phosphating,2816.25344,64,14,0.8300750243,1.3,1.5,1.7," $ 7,363.76 "
X,4130,VAM TOP®,Xylan Coating,495.04455,45,7,0.6214222859,1.1,1.8,1.4, $ 700.48 
Y,4130,VAM TOP®,Cu Plating,704.06336,16,14,0.6214222859,1.6,2.0,1.4," $ 1,378.19 "
X,4130,TenarisHydril Blue®,Cu Plating,287.3728,5,16,0.6214222859,1.9,1.2,1.5, $ 406.63 
Y,4130,TenarisHydril Blue®,Xylan Coating,86.88537,43,3,0.6214222859,1.8,1.8,1.7, $ 170.08 
Z,4130,TenarisHydril Blue®,Xylan Coating,229.89824,16,8,0.6214222859,1.6,1.9,1.6, $ 772.24 
X,F22,JFE Lion,Phosphating,679.14275,25,11,0.8300750243,1.7,2.0,1.6," $ 1,283.63 "
X,4130,VAM TOP®,Xylan Coating,244.26688,68,4,0.6214222859,1.2,1.6,1.6, $ 345.63 
X,4130,JFE Lion,Phosphating,1781.71136,31,16,0.6214222859,1.0,1.2,1.5," $ 2,521.08 "
X,F22,JFE Lion,Carbide Coating,215.5296,60,4,0.8300750243,1.5,1.8,1.2, $ 407.37 
X,F22,TenarisHydril Blue®,Carbide Coating,12.57256,14,2,0.8300750243,1.7,1.4,2.0, $ 23.76 
Y,4130,JFE Lion,Xylan Coating,71.8432,20,4,0.6214222859,1.1,1.1,1.3, $ 140.63 
Y,4130,JFE Lion,Xylan Coating,218.22372,27,6,0.6214222859,1.8,1.3,1.7, $ 427.17 
X,4130,VAM TOP®,Cu Plating,1436.864,25,16,0.6214222859,1.5,1.6,1.1," $ 2,033.13 "
Z,F22,VAM TOP®,Phosphating,452.61216,14,12,0.8300750243,1.6,1.5,1.5," $ 2,030.82 "
Y,F22,JFE Lion,Cu Plating,347.9905,62,5,0.8300750243,1.5,1.3,1.3, $ 909.90 
Y,F22,JFE Lion,Carbide Coating,1182.04515,65,9,0.8300750243,1.8,1.8,1.3," $ 3,090.74 "
Z,4130,JFE Lion,Carbide Coating,112.255,20,5,0.6214222859,1.1,1.5,1.5, $ 377.07 
Z,F22,JFE Lion,Phosphating,2428.30016,64,13,0.8300750243,1.0,1.1,1.8," $ 10,895.51 "
X,F22,TenarisHydril Blue®,Phosphating,1724.2368,30,16,0.8300750243,1.7,1.1,1.2," $ 3,258.95 "
Y,4130,TenarisHydril Blue®,Phosphating,581.92992,18,12,0.6214222859,1.2,1.8,1.7," $ 1,139.12 "
X,4130,TenarisHydril Blue®,Phosphating,3103.62624,54,16,0.6214222859,1.4,1.5,1.4," $ 4,391.56 "
Z,F22,TenarisHydril Blue®,Phosphating,787.80559,29,11,0.8300750243,1.6,1.6,1.2," $ 3,534.80 "
Y,4130,JFE Lion,Xylan Coating,472.81806,26,9,0.6214222859,1.2,1.9,2.0, $ 925.53 
Z,4130,TenarisHydril Blue®,Carbide Coating,1594.021,71,10,0.6214222859,1.3,1.7,1.6," $ 5,354.37 "
Z,4130,JFE Lion,Phosphating,675.32608,47,8,0.6214222859,1.8,1.3,1.8," $ 2,268.44 "
Z,4130,JFE Lion,Cu Plating,651.97704,24,11,0.6214222859,1.9,1.9,1.1," $ 2,190.01 "
X,4130,TenarisHydril Blue®,Cu Plating,573.84756,71,6,0.6214222859,1.4,1.6,1.4, $ 811.98 
Y,F22,JFE Lion,Xylan Coating,35.02356,39,2,0.8300750243,1.9,1.5,1.4, $ 91.58 
Y,F22,JFE Lion,Ni Plating,400.07682,22,9,0.8300750243,1.8,1.8,1.9," $ 1,046.10 "
Z,4130,TenarisHydril Blue®,Phosphating,2288.20592,52,14,0.6214222859,1.8,1.7,1.6," $ 7,686.17 "
Y,4130,TenarisHydril Blue®,Cu Plating,2586.3552,45,16,0.6214222859,1.6,1.4,1.4," $ 5,062.74 "
X,F22,TenarisHydril Blue®,Xylan Coating,303.0885,6,15,0.8300750243,1.4,1.4,1.7, $ 572.86 
X,4130,TenarisHydril Blue®,Cu Plating,121.2354,15,6,0.6214222859,1.5,1.0,1.8, $ 171.55 
X,4130,TenarisHydril Blue®,Xylan Coating,196.44625,35,5,0.6214222859,1.3,1.7,1.9, $ 277.97 
X,F22,VAM TOP®,Carbide Coating,1479.74541,39,13,0.8300750243,1.5,1.1,1.6," $ 2,796.84 "
X,4130,TenarisHydril Blue®,Phosphating,1358.2855,50,11,0.6214222859,1.8,1.5,1.4," $ 1,921.94 "
X,4130,TenarisHydril Blue®,Cu Plating,660.0594,15,14,0.6214222859,1.9,1.5,1.5, $ 933.97 
Y,F22,TenarisHydril Blue®,Carbide Coating,147.27856,41,4,0.8300750243,1.7,1.4,1.8, $ 385.09 
X,4130,TenarisHydril Blue®,Ni Plating,671.06039,61,7,0.6214222859,1.5,1.8,1.5, $ 949.54 
Z,4130,VAM TOP®,Phosphating,121.01089,11,7,0.6214222859,1.2,1.3,2.0, $ 406.48 
Z,4130,JFE Lion,Ni Plating,157.157,28,5,0.6214222859,1.3,1.0,1.7, $ 527.90 
X,F22,VAM TOP®,Carbide Coating,617.85152,43,8,0.8300750243,1.1,1.5,2.0," $ 1,167.79 "
Z,F22,JFE Lion,Ni Plating,363.03267,33,7,0.8300750243,1.6,1.4,1.6," $ 1,628.89 "
Y,4130,TenarisHydril Blue®,Cu Plating,574.7456,40,8,0.6214222859,1.7,1.2,1.3," $ 1,125.05 "
X,F22,TenarisHydril Blue®,Cu Plating,71.8432,5,8,0.8300750243,2.0,1.5,1.1, $ 135.79 
X,F22,TenarisHydril Blue®,Carbide Coating,111.13245,55,3,0.8300750243,1.5,1.5,1.3, $ 210.05 
Z,4130,JFE Lion,Ni Plating,2596.23364,59,14,0.6214222859,1.3,1.1,1.9," $ 8,720.84 "
Z,F22,JFE Lion,Xylan Coating,143.6864,10,8,0.8300750243,2.0,1.1,1.0, $ 644.70 
X,F22,JFE Lion,Cu Plating,3965.74464,69,16,0.8300750243,1.3,1.7,1.4," $ 7,495.58 "
Y,4130,TenarisHydril Blue®,Xylan Coating,1144.10296,26,14,0.6214222859,1.3,1.1,1.3," $ 2,239.56 "
Z,4130,TenarisHydril Blue®,Ni Plating,2048.87826,54,13,0.6214222859,1.1,1.4,1.4," $ 6,882.26 "
Z,F22,VAM TOP®,Xylan Coating,258.63552,32,6,0.8300750243,1.7,1.6,1.0," $ 1,160.47 "
X,F22,JFE Lion,Xylan Coating,1320.1188,30,14,0.8300750243,1.7,1.4,1.4," $ 2,495.13 "
Y,F22,VAM TOP®,Xylan Coating,407.03663,37,7,0.8300750243,1.9,1.2,1.9," $ 1,064.29 "
Y,F22,VAM TOP®,Cu Plating,606.177,12,15,0.8300750243,1.0,1.1,1.7," $ 1,584.99 "
Y,4130,JFE Lion,Ni Plating,359.216,25,8,0.6214222859,1.7,1.0,1.4, $ 703.16 
Z,F22,JFE Lion,Carbide Coating,1054.74798,58,9,0.8300750243,1.4,1.3,1.9," $ 4,732.54 "
Y,F22,TenarisHydril Blue®,Carbide Coating,163.66779,9,9,0.8300750243,1.4,1.2,1.5, $ 427.95 
Y,F22,VAM TOP®,Carbide Coating,3333.52448,58,16,0.8300750243,1.2,1.0,1.2," $ 8,716.29 "
Y,F22,TenarisHydril Blue®,Cu Plating,1249.62266,46,11,0.8300750243,2.0,1.2,1.0," $ 3,267.43 "
Y,4130,JFE Lion,Carbide Coating,250.55316,31,6,0.6214222859,1.1,2.0,1.4, $ 490.45 
Y,F22,JFE Lion,Phosphating,39.51376,44,2,0.8300750243,1.2,1.6,1.3, $ 103.32 
X,F22,VAM TOP®,Xylan Coating,251.4512,70,4,0.8300750243,1.8,1.9,1.1, $ 475.26 
X,4130,VAM TOP®,Ni Plating,86.21184,6,8,0.6214222859,1.8,1.7,1.5, $ 121.99 
Z,F22,TenarisHydril Blue®,Xylan Coating,3182.42925,63,15,0.8300750243,1.2,1.8,1.4," $ 14,279.20 "
Y,F22,VAM TOP®,Ni Plating,2758.77888,48,16,0.8300750243,1.5,1.4,1.0," $ 7,213.48 "
X,4130,JFE Lion,Carbide Coating,605.05445,55,7,0.6214222859,1.2,1.8,1.5, $ 856.14 
Z,4130,JFE Lion,Xylan Coating,1077.648,48,10,0.6214222859,1.1,1.6,1.9," $ 3,619.86 "
X,4130,JFE Lion,Cu Plating,165.23936,46,4,0.6214222859,1.9,1.5,1.4, $ 233.81 
X,4130,TenarisHydril Blue®,Xylan Coating,56.57652,28,3,0.6214222859,1.6,1.1,1.3, $ 80.05 
X,4130,VAM TOP®,Phosphating,905.22432,28,12,0.6214222859,1.7,1.3,1.3," $ 1,280.87 "
Y,4130,JFE Lion,Ni Plating,891.08019,49,9,0.6214222859,1.2,1.9,1.3," $ 1,744.27 "
Y,4130,JFE Lion,Cu Plating,404.118,72,5,0.6214222859,1.7,1.5,1.3, $ 791.05 
Z,4130,VAM TOP®,Carbide Coating,872.89488,48,9,0.6214222859,1.5,1.4,1.3," $ 2,932.09 "
Z,4130,TenarisHydril Blue®,Carbide Coating,1839.18592,32,16,0.6214222859,1.4,1.9,1.9," $ 6,177.89 "
Y,F22,JFE Lion,Cu Plating,140.31875,25,5,0.8300750243,1.9,1.8,1.0, $ 366.90 
X,4130,VAM TOP®,Cu Plating,2904.26136,66,14,0.6214222859,1.6,1.6,2.0," $ 4,109.47 "
X,4130,TenarisHydril Blue®,Ni Plating,80.8236,10,6,0.6214222859,1.2,1.7,1.7, $ 114.36 
X,4130,VAM TOP®,Phosphating,583.05247,53,7,0.6214222859,1.4,2.0,1.8, $ 825.01 
X,4130,JFE Lion,Carbide Coating,1357.83648,42,12,0.6214222859,1.9,1.8,1.7," $ 1,921.31 "
X,4130,JFE Lion,Cu Plating,570.47991,21,11,0.6214222859,1.5,1.5,1.4, $ 807.22 
Y,4130,JFE Lion,Phosphating,64.65888,8,6,0.6214222859,2.0,1.1,1.6, $ 126.57 
X,F22,JFE Lion,Carbide Coating,201.16096,56,4,0.8300750243,1.4,1.5,1.8, $ 380.21 
Z,4130,VAM TOP®,Phosphating,41.30984,46,2,0.6214222859,1.4,1.1,1.3, $ 138.76 
Y,4130,TenarisHydril Blue®,Cu Plating,218.22372,12,9,0.6214222859,1.2,1.8,1.3, $ 427.17 
Z,F22,VAM TOP®,Carbide Coating,1100.099,49,10,0.8300750243,1.2,1.1,1.7," $ 4,936.02 "
X,F22,TenarisHydril Blue®,Cu Plating,14.36864,16,2,0.8300750243,1.5,1.1,1.9, $ 27.16 
X,4130,VAM TOP®,Carbide Coating,2124.76264,56,13,0.6214222859,1.1,1.8,1.4," $ 3,006.49 "
X,4130,VAM TOP®,Carbide Coating,1783.28293,47,13,0.6214222859,1.8,1.7,1.3," $ 2,523.31 "
X,F22,TenarisHydril Blue®,Ni Plating,6.28628,7,2,0.8300750243,1.6,1.6,1.0, $ 11.88 
Y,F22,JFE Lion,Xylan Coating,24.24708,27,2,0.8300750243,1.5,2.0,1.7, $ 63.40 
Z,F22,TenarisHydril Blue®,Xylan Coating,1218.41577,67,9,0.8300750243,1.6,2.0,1.0," $ 5,466.89 "
Z,F22,JFE Lion,Phosphating,131.33835,65,3,0.8300750243,1.8,1.9,1.9, $ 589.30 
X,F22,JFE Lion,Phosphating,336.765,60,5,0.8300750243,1.3,1.3,1.5, $ 636.51 
Y,4130,TenarisHydril Blue®,Carbide Coating,1167.452,52,10,0.6214222859,1.9,1.8,1.2," $ 2,285.26 "
Z,F22,VAM TOP®,Xylan Coating,127.29717,7,9,0.8300750243,1.5,1.6,2.0, $ 571.17 
Y,F22,VAM TOP®,Xylan Coating,963.82143,53,9,0.8300750243,1.2,1.7,1.5," $ 2,520.14 "
Y,F22,TenarisHydril Blue®,Xylan Coating,198.01782,18,7,0.8300750243,1.1,1.2,1.9, $ 517.76 
Y,4130,VAM TOP®,Phosphating,461.81707,17,11,0.6214222859,1.6,1.1,1.2, $ 904.00 
Y,4130,TenarisHydril Blue®,Phosphating,517.27104,64,6,0.6214222859,1.5,1.1,1.4," $ 1,012.55 "
X,F22,JFE Lion,Xylan Coating,781.96833,43,9,0.8300750243,1.5,1.1,1.2," $ 1,477.98 "
Y,F22,JFE Lion,Cu Plating,253.02277,23,7,0.8300750243,1.3,1.2,1.8, $ 661.59 
X,F22,TenarisHydril Blue®,Carbide Coating,201.16096,14,8,0.8300750243,1.1,1.8,1.7, $ 380.21 
Y,F22,VAM TOP®,Cu Plating,187.01683,17,7,0.8300750243,1.9,1.5,1.3, $ 489.00 
X,4130,TenarisHydril Blue®,Cu Plating,347.54148,43,6,0.6214222859,1.2,1.2,1.9, $ 491.76 
Y,F22,TenarisHydril Blue®,Carbide Coating,64.65888,18,4,0.8300750243,1.1,1.2,1.7, $ 169.07 
Y,4130,TenarisHydril Blue®,Phosphating,10.10295,5,3,0.6214222859,1.9,1.3,1.5, $ 19.78 
X,F22,TenarisHydril Blue®,Cu Plating,707.2065,14,15,0.8300750243,1.5,1.4,1.7," $ 1,336.68 "
Y,F22,TenarisHydril Blue®,Phosphating,2273.16375,45,15,0.8300750243,1.2,1.9,1.2," $ 5,943.72 "
X,4130,VAM TOP®,Carbide Coating,1032.746,46,10,0.6214222859,1.7,1.9,1.7," $ 1,461.31 "
X,4130,VAM TOP®,Ni Plating,1549.119,69,10,0.6214222859,1.9,1.9,1.9," $ 2,191.97 "
X,4130,JFE Lion,Ni Plating,1010.295,20,15,0.6214222859,1.4,1.3,1.8," $ 1,429.55 "
Z,4130,VAM TOP®,Ni Plating,2873.728,50,16,0.6214222859,1.6,1.1,1.4," $ 9,652.96 "
Z,F22,VAM TOP®,Ni Plating,8.9804,10,2,0.8300750243,1.9,1.6,1.0, $ 40.29 
Y,4130,JFE Lion,Carbide Coating,1842.77808,57,12,0.6214222859,1.2,1.2,1.1," $ 3,607.20 "
Z,F22,TenarisHydril Blue®,Carbide Coating,376.05425,67,5,0.8300750243,1.9,1.9,1.7," $ 1,687.31 "
X,F22,JFE Lion,Cu Plating,1144.10296,26,14,0.8300750243,1.2,1.3,1.5," $ 2,162.45 "
Y,4130,VAM TOP®,Xylan Coating,330.0297,30,7,0.6214222859,1.9,1.4,1.2, $ 646.03 
Y,4130,VAM TOP®,Cu Plating,1054.74798,58,9,0.6214222859,1.3,1.7,1.4," $ 2,064.65 "
X,F22,JFE Lion,Ni Plating,143.01287,13,7,0.8300750243,1.4,1.1,2.0, $ 270.31 
Y,F22,VAM TOP®,Ni Plating,157.157,7,10,0.8300750243,1.9,1.7,1.9, $ 410.92 
Y,F22,JFE Lion,Ni Plating,436.44744,54,6,0.8300750243,1.5,1.6,1.8," $ 1,141.19 "
Z,4130,VAM TOP®,Ni Plating,172.42368,12,8,0.6214222859,1.3,2.0,1.9, $ 579.18 
Y,F22,JFE Lion,Carbide Coating,1260.84816,39,12,0.8300750243,2.0,1.1,1.3," $ 3,296.79 "
X,4130,TenarisHydril Blue®,Carbide Coating,104.17264,29,4,0.6214222859,1.3,1.7,1.1, $ 147.40 
Y,4130,TenarisHydril Blue®,Cu Plating,1024.43913,27,13,0.6214222859,1.4,1.4,1.4," $ 2,005.32 "
Y,4130,TenarisHydril Blue®,Carbide Coating,31.4314,35,2,0.6214222859,2.0,1.4,1.9, $ 61.53 
Y,F22,TenarisHydril Blue®,Ni Plating,1212.354,24,15,0.8300750243,1.5,1.3,1.9," $ 3,169.99 "
X,F22,TenarisHydril Blue®,Carbide Coating,291.863,52,5,0.8300750243,1.9,1.8,1.5, $ 551.64 
Z,4130,VAM TOP®,Phosphating,1839.18592,32,16,0.6214222859,1.1,1.9,1.2," $ 6,177.89 "
X,F22,JFE Lion,Xylan Coating,86.21184,6,8,0.8300750243,1.9,1.4,1.1, $ 162.95 
X,4130,TenarisHydril Blue®,Xylan Coating,376.05425,67,5,0.6214222859,1.9,1.6,1.5, $ 532.11 
Z,4130,TenarisHydril Blue®,Ni Plating,43.10592,12,4,0.6214222859,1.7,1.0,1.7, $ 144.79 
Z,F22,TenarisHydril Blue®,Ni Plating,31.4314,35,2,0.8300750243,1.8,1.7,1.9, $ 141.03 
Z,4130,VAM TOP®,Phosphating,290.96496,9,12,0.6214222859,1.7,1.3,1.9, $ 977.36 
Y,F22,JFE Lion,Carbide Coating,1555.62979,41,13,0.8300750243,1.5,1.8,1.0," $ 4,067.56 "
Y,F22,JFE Lion,Phosphating,3080.2772,70,14,0.8300750243,1.2,1.3,1.7," $ 8,054.11 "
X,F22,JFE Lion,Carbide Coating,760.63988,28,11,0.8300750243,1.6,1.5,1.9," $ 1,437.67 "
X,4130,VAM TOP®,Xylan Coating,2323.6785,46,15,0.6214222859,1.0,1.4,1.5," $ 3,287.96 "
Z,F22,VAM TOP®,Phosphating,919.59296,64,8,0.8300750243,2.0,1.6,1.3," $ 4,126.11 "
Z,4130,JFE Lion,Ni Plating,150.87072,42,4,0.6214222859,1.9,1.7,1.6, $ 506.78 
Z,F22,VAM TOP®,Ni Plating,28.06375,5,5,0.8300750243,2.0,1.9,1.3, $ 125.92 
Y,F22,JFE Lion,Cu Plating,143.6864,10,8,0.8300750243,1.9,1.9,1.0, $ 375.70 
Y,4130,VAM TOP®,Ni Plating,314.314,56,5,0.6214222859,1.4,1.2,1.0, $ 615.26 
Y,4130,TenarisHydril Blue®,Phosphating,600.11523,33,9,0.6214222859,1.8,1.0,1.4," $ 1,174.71 "
Y,F22,VAM TOP®,Xylan Coating,1575.61118,58,11,0.8300750243,1.0,1.7,2.0," $ 4,119.81 "
Y,4130,JFE Lion,Cu Plating,549.60048,17,12,0.6214222859,1.6,1.6,1.2," $ 1,075.83 "
X,F22,VAM TOP®,Xylan Coating,2552.22968,58,14,0.8300750243,1.1,1.5,1.8," $ 4,823.92 "
Y,4130,JFE Lion,Cu Plating,137.40012,68,3,0.6214222859,1.0,1.9,1.8, $ 268.96 
X,4130,JFE Lion,Phosphating,301.74144,21,8,0.6214222859,1.5,1.9,1.6, $ 426.96 
X,4130,JFE Lion,Phosphating,583.05247,53,7,0.6214222859,2.0,1.3,1.4, $ 825.01 
Y,F22,VAM TOP®,Cu Plating,373.58464,26,8,0.8300750243,1.1,1.2,1.6, $ 976.83 
Z,F22,TenarisHydril Blue®,Phosphating,1494.11405,55,11,0.8300750243,1.8,1.4,1.8," $ 6,703.92 "
Z,4130,TenarisHydril Blue®,Phosphating,113.15304,56,3,0.6214222859,1.9,1.8,1.6, $ 380.09 
Z,4130,JFE Lion,Ni Plating,381.667,68,5,0.6214222859,1.4,2.0,1.0," $ 1,282.03 "
X,F22,JFE Lion,Xylan Coating,1000.19205,55,9,0.8300750243,1.4,1.5,1.9," $ 1,890.44 "
X,4130,VAM TOP®,Ni Plating,1000.19205,55,9,0.6214222859,1.3,1.2,1.5," $ 1,415.25 "
Y,F22,TenarisHydril Blue®,Ni Plating,145.48248,8,9,0.8300750243,1.3,1.8,1.8, $ 380.40 
X,F22,TenarisHydril Blue®,Ni Plating,347.9905,62,5,0.8300750243,1.1,1.8,1.1, $ 657.73 
X,F22,JFE Lion,Xylan Coating,105.07068,52,3,0.8300750243,1.6,1.5,1.0, $ 198.59 
Z,F22,VAM TOP®,Carbide Coating,271.6571,10,11,0.8300750243,1.2,1.9,1.8," $ 1,218.89 "
X,4130,TenarisHydril Blue®,Xylan Coating,862.1184,60,8,0.6214222859,1.4,1.1,1.6," $ 1,219.88 "
Z,F22,JFE Lion,Ni Plating,263.79925,47,5,0.8300750243,1.3,1.7,1.3," $ 1,183.64 "
Z,F22,JFE Lion,Ni Plating,330.47872,23,8,0.8300750243,1.4,1.3,1.3," $ 1,482.82 "
Z,F22,TenarisHydril Blue®,Cu Plating,707.2065,14,15,0.8300750243,1.6,1.8,1.7," $ 3,173.16 "
Y,4130,VAM TOP®,Carbide Coating,133.35894,66,3,0.6214222859,1.9,1.7,1.0, $ 261.05 
X,4130,VAM TOP®,Xylan Coating,2424.708,48,15,0.6214222859,1.4,1.5,1.4," $ 3,430.91 "
X,F22,JFE Lion,Phosphating,161.6472,20,6,0.8300750243,1.4,1.3,1.9, $ 305.53 
Y,F22,TenarisHydril Blue®,Xylan Coating,27.83924,31,2,0.8300750243,1.7,1.7,1.8, $ 72.79 
X,F22,JFE Lion,Ni Plating,308.02772,28,7,0.8300750243,2.0,1.3,1.1, $ 582.20 
X,4130,JFE Lion,Ni Plating,581.92992,32,9,0.6214222859,1.8,1.8,1.4, $ 823.42 
Z,F22,TenarisHydril Blue®,Cu Plating,627.05643,57,7,0.8300750243,1.2,1.3,1.2," $ 2,813.53 "
Y,F22,TenarisHydril Blue®,Phosphating,1100.099,49,10,0.8300750243,1.2,1.7,1.1," $ 2,876.47 "
Z,F22,TenarisHydril Blue®,Carbide Coating,1549.119,69,10,0.8300750243,2.0,1.6,1.6," $ 6,950.72 "
Z,F22,VAM TOP®,Cu Plating,129.09325,23,5,0.8300750243,1.6,1.5,1.2, $ 579.23 
X,F22,TenarisHydril Blue®,Carbide Coating,52.08632,58,2,0.8300750243,1.7,1.2,1.4, $ 98.45 
