Part Family,Material Grade,Threading Type,Coating Type,Weight (MT),Length (inches),Diameter (inches),RM Cost/MT,Volume,Alpha,Beta,Gamma,Price
China,4130,VAM TOP®,Phosphating,73,4,9,"$1,370.00",254.4690049,1.8,1.2,1,"$211,599.93"
Brazil,F22,VAM TOP®,Carbide Coating,158,124,29,"$2,379.00",81904.46207,2.5,1.2,1.1,"$180,685,068.27"
Romania,F22,TenarisHydril Blue®,Cu Plating,13,33,11,"$2,415.00",3136.094866,2.5,1.17,1.02,"$6,349,487.74"
Brazil,4130,VAM TOP®,Phosphating,172,79,19,"$1,781.00",22398.77022,1.8,1.2,1,"$24,212,975.64"
Europe,4130,TenarisHydril Blue®,Xylan Coating,109,99,12,"$1,470.00",11196.63622,1.8,1.17,1.01,"$9,837,640.85"
USA,F22,VAM TOP®,Xylan Coating,151,83,30,"$2,528.07",58669.24281,2.5,1.2,1.01,"$126,284,057.29"
Brazil,F22,VAM TOP®,Cu Plating,103,78,18,"$2,379.00",19848.58239,2.5,1.2,1.02,"$40,602,397.88"
Brazil,4130,JFE Lion,Cu Plating,196,120,15,"$1,781.00",21205.75041,1.8,1.15,1.02,"$22,407,551.44"
Brazil,4130,JFE Lion,Ni Plating,50,47,15,"$1,781.00",8305.585578,1.8,1.15,1.05,"$9,034,417.19"
Europe,F22,JFE Lion,Carbide Coating,39,44,8,"$2,400.00",2211.681228,2.5,1.15,1.1,"$4,717,051.61"
Europe,4130,JFE Lion,Cu Plating,79,53,24,"$1,470.00",23976.63513,1.8,1.15,1.02,"$20,911,366.14"
Brazil,F22,TenarisHydril Blue®,Cu Plating,16,44,10,"$2,379.00",3455.751919,2.5,1.17,1.02,"$6,892,382.36"
China,4130,TenarisHydril Blue®,Xylan Coating,19,87,35,"$1,370.00",83703.80926,1.8,1.17,1.01,"$68,541,223.15"
USA,4130,VAM TOP®,Ni Plating,107,88,12,"$1,690.50",9952.565527,1.8,1.2,1.05,"$10,722,587.30"
Europe,4130,VAM TOP®,Xylan Coating,150,11,4,"$1,470.00",138.2300768,1.8,1.2,1.01,"$124,566.52"
Romania,F22,JFE Lion,Xylan Coating,70,75,31,"$2,415.00",56607.57263,2.5,1.15,1.01,"$111,546,824.21"
Europe,F22,TenarisHydril Blue®,Carbide Coating,82,137,14,"$2,400.00",21089.51148,2.5,1.17,1.1,"$45,761,751.36"
USA,4130,VAM TOP®,Cu Plating,167,87,35,"$1,690.50",83703.80926,1.8,1.2,1.02,"$87,603,335.17"
Singapore,4130,JFE Lion,Ni Plating,187,18,5,"$1,473.45",353.4291735,1.8,1.15,1.05,"$318,056.12"
Singapore,4130,VAM TOP®,Ni Plating,144,13,19,"$1,473.45",3685.873581,1.8,1.2,1.05,"$3,461,188.16"
Brazil,F22,VAM TOP®,Cu Plating,164,130,32,"$2,379.00",104552.2035,2.5,1.2,1.02,"$213,872,713.10"
USA,4130,VAM TOP®,Cu Plating,29,33,40,"$1,690.50",41469.02303,1.8,1.2,1.02,"$43,400,948.60"
China,4130,JFE Lion,Ni Plating,73,14,11,"$1,370.00",1330.464489,1.8,1.15,1.05,"$1,113,242.61"
China,F22,JFE Lion,Xylan Coating,149,30,19,"$1,830.00",8505.86211,2.5,1.15,1.01,"$12,700,913.86"
Europe,4130,TenarisHydril Blue®,Phosphating,126,140,19,"$1,470.00",39694.02318,1.8,1.17,1,"$34,530,839.78"
Singapore,F22,TenarisHydril Blue®,Phosphating,198,15,8,"$2,215.29",753.9822369,2.5,1.17,1,"$1,372,852.54"
Brazil,F22,VAM TOP®,Phosphating,28,72,12,"$2,379.00",8143.008158,2.5,1.2,1,"$16,330,778.43"
India,4130,TenarisHydril Blue®,Cu Plating,4,31,2,"$1,190.00",97.38937226,1.8,1.17,1.02,"$69,955.75"
Europe,F22,TenarisHydril Blue®,Carbide Coating,182,16,5,"$2,400.00",314.1592654,2.5,1.17,1.1,"$681,688.54"
Europe,F22,VAM TOP®,Xylan Coating,107,43,35,"$2,400.00",41370.84826,2.5,1.2,1.01,"$84,538,515.20"
USA,4130,VAM TOP®,Cu Plating,145,113,1,"$1,690.50",88.74999246,1.8,1.2,1.02,"$92,884.61"
China,F22,JFE Lion,Ni Plating,90,3,15,"$1,830.00",530.1437603,2.5,1.15,1.05,"$822,959.02"
Europe,F22,JFE Lion,Cu Plating,41,56,17,"$2,400.00",12710.88388,2.5,1.15,1.02,"$25,138,035.40"
Brazil,F22,VAM TOP®,Cu Plating,155,79,30,"$2,379.00",55841.80942,2.5,1.2,1.02,"$114,230,392.89"
Europe,4130,TenarisHydril Blue®,Xylan Coating,124,109,12,"$1,470.00",12327.60957,1.8,1.17,1.01,"$10,831,341.94"
USA,F22,VAM TOP®,Phosphating,114,45,25,"$2,528.07",22089.32335,2.5,1.2,1,"$47,075,948.83"
Romania,F22,VAM TOP®,Xylan Coating,26,48,30,"$2,415.00",33929.20066,2.5,1.2,1.01,"$69,765,339.45"
Europe,4130,TenarisHydril Blue®,Carbide Coating,152,56,8,"$1,470.00",2814.867018,1.8,1.17,1.1,"$2,693,596.81"
India,4130,TenarisHydril Blue®,Carbide Coating,27,101,8,"$1,190.00",5076.813728,1.8,1.17,1.1,"$3,932,742.96"
India,4130,VAM TOP®,Xylan Coating,81,139,17,"$1,190.00",31550.22962,1.8,1.2,1.01,"$23,016,057.33"
Singapore,F22,VAM TOP®,Xylan Coating,100,71,12,"$2,215.29",8029.910823,2.5,1.2,1.01,"$15,145,731.65"
Singapore,F22,JFE Lion,Carbide Coating,162,70,16,"$2,215.29",14074.33509,2.5,1.15,1.1,"$27,707,371.51"
China,4130,VAM TOP®,Cu Plating,78,3,22,"$1,370.00",1140.398133,1.8,1.2,1.02,"$967,246.81"
Romania,4130,TenarisHydril Blue®,Phosphating,110,59,32,"$1,609.20",47450.61544,1.8,1.17,1,"$45,187,317.47"
Romania,4130,VAM TOP®,Cu Plating,126,107,27,"$1,609.20",61263.41294,1.8,1.2,1.02,"$61,033,946.70"
India,4130,VAM TOP®,Carbide Coating,38,95,14,"$1,190.00",14624.1138,1.8,1.2,1.1,"$11,619,014.02"
Romania,4130,JFE Lion,Ni Plating,133,59,10,"$1,609.20",4633.849164,1.8,1.15,1.05,"$4,554,260.64"
Brazil,F22,JFE Lion,Ni Plating,25,54,11,"$2,379.00",5131.7916,2.5,1.15,1.05,"$10,356,116.36"
Europe,4130,JFE Lion,Carbide Coating,96,116,36,"$1,470.00",118073.6183,1.8,1.15,1.1,"$111,055,368.47"
India,F22,JFE Lion,Cu Plating,186,116,10,"$1,998.00",9110.618695,2.5,1.15,1.02,"$14,999,876.91"
Europe,F22,TenarisHydril Blue®,Cu Plating,130,43,10,"$2,400.00",3377.212103,2.5,1.17,1.02,"$6,795,195.26"
Brazil,4130,VAM TOP®,Xylan Coating,164,98,18,"$1,781.00",24937.96248,1.8,1.2,1.01,"$27,227,410.03"
Europe,4130,TenarisHydril Blue®,Phosphating,144,10,5,"$1,470.00",196.3495408,1.8,1.17,1,"$170,809.46"
China,4130,JFE Lion,Xylan Coating,191,17,9,"$1,370.00",1081.493271,1.8,1.15,1.01,"$870,447.19"
Singapore,F22,TenarisHydril Blue®,Xylan Coating,155,53,17,"$2,215.29",12029.94367,2.5,1.17,1.01,"$22,123,189.78"
Europe,F22,TenarisHydril Blue®,Cu Plating,30,53,29,"$2,400.00",35007.55234,2.5,1.17,1.02,"$70,437,729.85"
USA,4130,VAM TOP®,Carbide Coating,80,19,15,"$1,690.50",3357.577149,1.8,1.2,1.1,"$3,789,604.89"
USA,4130,VAM TOP®,Ni Plating,174,10,9,"$1,690.50",636.1725124,1.8,1.2,1.05,"$685,392.65"
Brazil,F22,JFE Lion,Ni Plating,147,95,32,"$2,379.00",76403.53334,2.5,1.15,1.05,"$154,184,726.00"
USA,F22,VAM TOP®,Xylan Coating,136,135,3,"$2,528.07",954.2587685,2.5,1.2,1.01,"$2,054,017.80"
USA,F22,JFE Lion,Ni Plating,8,61,6,"$2,528.07",1724.734367,2.5,1.15,1.05,"$3,698,663.15"
Singapore,4130,TenarisHydril Blue®,Phosphating,114,132,12,"$1,473.45",14928.84829,1.8,1.17,1,"$13,017,464.28"
China,4130,VAM TOP®,Phosphating,119,82,23,"$1,370.00",34069.00153,1.8,1.2,1,"$28,329,574.00"
India,4130,TenarisHydril Blue®,Xylan Coating,190,48,14,"$1,190.00",7389.025921,1.8,1.17,1.01,"$5,255,574.68"
Romania,F22,TenarisHydril Blue®,Xylan Coating,198,136,14,"$2,415.00",20935.57344,2.5,1.17,1.01,"$41,971,603.38"
Brazil,4130,JFE Lion,Xylan Coating,165,28,4,"$1,781.00",351.8583772,1.8,1.15,1.01,"$368,154.28"
Singapore,F22,VAM TOP®,Ni Plating,54,101,24,"$2,215.29",45691.32355,2.5,1.2,1.05,"$89,594,468.89"
USA,4130,TenarisHydril Blue®,Xylan Coating,101,10,3,"$1,690.50",70.68583471,1.8,1.17,1.01,"$71,422.27"
India,F22,VAM TOP®,Ni Plating,101,120,20,"$1,998.00",37699.11184,2.5,1.2,1.05,"$66,671,998.96"
China,4130,TenarisHydril Blue®,Ni Plating,174,119,5,"$1,370.00",2336.559536,1.8,1.17,1.05,"$1,989,076.12"
India,F22,VAM TOP®,Ni Plating,4,77,2,"$1,998.00",241.9026343,2.5,1.2,1.05,"$427,811.99"
India,F22,VAM TOP®,Carbide Coating,118,22,32,"$1,998.00",17693.44983,2.5,1.2,1.1,"$32,781,457.77"
Brazil,4130,TenarisHydril Blue®,Phosphating,177,115,19,"$1,781.00",32605.80475,1.8,1.17,1,"$34,365,568.27"
USA,F22,VAM TOP®,Xylan Coating,74,115,14,"$2,528.07",17702.8746,2.5,1.2,1.01,"$38,104,988.64"
Romania,4130,JFE Lion,Xylan Coating,145,90,33,"$1,609.20",76976.87399,1.8,1.15,1.01,"$72,772,674.07"
Europe,4130,VAM TOP®,Carbide Coating,114,5,9,"$1,470.00",318.0862562,1.8,1.2,1.1,"$312,187.13"
Europe,F22,VAM TOP®,Phosphating,176,85,37,"$2,400.00",91392.85728,2.5,1.2,1,"$184,906,028.86"
Europe,4130,VAM TOP®,Phosphating,146,73,31,"$1,470.00",55098.03736,1.8,1.2,1,"$49,160,187.99"
India,4130,JFE Lion,Phosphating,168,129,18,"$1,190.00",32826.50164,1.8,1.15,1,"$22,722,087.54"
China,4130,JFE Lion,Cu Plating,128,33,2,"$1,370.00",103.6725576,1.8,1.15,1.02,"$84,267.71"
USA,F22,VAM TOP®,Xylan Coating,29,88,15,"$2,528.07",15550.88364,2.5,1.2,1.01,"$33,472,882.66"
Brazil,4130,VAM TOP®,Carbide Coating,45,38,34,"$1,781.00",34500.97052,1.8,1.2,1.1,"$41,024,943.13"
Singapore,4130,JFE Lion,Xylan Coating,170,127,31,"$1,473.45",95855.48965,1.8,1.15,1.01,"$82,975,605.87"
Brazil,F22,VAM TOP®,Carbide Coating,144,63,1,"$2,379.00",49.48008429,2.5,1.2,1.1,"$109,155.38"
Europe,F22,TenarisHydril Blue®,Cu Plating,8,39,24,"$2,400.00",17643.18434,2.5,1.17,1.02,"$35,499,364.26"
India,4130,TenarisHydril Blue®,Carbide Coating,60,47,31,"$1,190.00",35474.07885,1.8,1.17,1.1,"$27,479,919.76"
India,4130,TenarisHydril Blue®,Phosphating,128,118,5,"$1,190.00",2316.924582,1.8,1.17,1,"$1,631,637.00"
China,4130,VAM TOP®,Xylan Coating,20,22,10,"$1,370.00",1727.875959,1.8,1.2,1.01,"$1,451,157.58"
Romania,4130,TenarisHydril Blue®,Carbide Coating,7,68,5,"$1,609.20",1335.176878,1.8,1.17,1.1,"$1,398,640.82"
Romania,F22,JFE Lion,Xylan Coating,125,103,35,"$2,415.00",99097.61327,2.5,1.15,1.01,"$195,274,652.02"
China,F22,TenarisHydril Blue®,Ni Plating,140,138,15,"$1,830.00",24386.61297,2.5,1.17,1.05,"$38,514,482.34"
Romania,F22,TenarisHydril Blue®,Cu Plating,160,62,11,"$2,415.00",5892.057022,2.5,1.17,1.02,"$11,929,340.60"
USA,4130,VAM TOP®,Carbide Coating,34,86,30,"$1,690.50",60789.81785,1.8,1.2,1.1,"$68,611,793.74"
India,4130,TenarisHydril Blue®,Ni Plating,125,61,8,"$1,190.00",3066.19443,1.8,1.17,1.05,"$2,267,256.41"
India,4130,TenarisHydril Blue®,Ni Plating,46,95,29,"$1,190.00",62749.38626,1.8,1.17,1.05,"$46,399,193.27"
Brazil,F22,TenarisHydril Blue®,Phosphating,63,32,33,"$2,379.00",27369.5552,2.5,1.17,1,"$53,517,321.82"
USA,4130,JFE Lion,Carbide Coating,105,81,22,"$1,690.50",30790.7496,1.8,1.15,1.1,"$33,304,643.37"
Romania,F22,VAM TOP®,Ni Plating,102,85,12,"$2,415.00",9613.27352,2.5,1.2,1.05,"$20,549,691.57"
India,F22,JFE Lion,Cu Plating,52,107,26,"$1,998.00",56809.41995,2.5,1.15,1.02,"$93,531,991.08"
China,F22,TenarisHydril Blue®,Ni Plating,177,55,17,"$1,830.00",12483.90381,2.5,1.17,1.05,"$19,716,189.91"
Europe,4130,VAM TOP®,Phosphating,83,21,7,"$1,470.00",808.1747101,1.8,1.2,1,"$721,078.69"
Brazil,F22,VAM TOP®,Phosphating,181,73,12,"$2,379.00",8256.105494,2.5,1.2,1,"$16,557,594.80"
Romania,F22,TenarisHydril Blue®,Cu Plating,144,121,9,"$2,415.00",7697.687399,2.5,1.17,1.02,"$15,585,106.26"
Singapore,F22,VAM TOP®,Phosphating,33,37,24,"$2,215.29",16738.40566,2.5,1.2,1,"$31,258,796.31"
Brazil,F22,JFE Lion,Carbide Coating,15,98,19,"$2,379.00",27785.81622,2.5,1.15,1.1,"$58,742,774.51"
India,4130,VAM TOP®,Xylan Coating,142,83,12,"$1,190.00",9387.078849,1.8,1.2,1.01,"$6,847,923.06"
USA,F22,JFE Lion,Phosphating,165,78,8,"$2,528.07",3920.707632,2.5,1.15,1,"$8,007,514.28"
Romania,4130,JFE Lion,Ni Plating,157,135,16,"$1,609.20",27143.36053,1.8,1.15,1.05,"$26,677,160.61"
China,4130,JFE Lion,Xylan Coating,171,44,40,"$1,370.00",55292.0307,1.8,1.15,1.01,"$44,502,165.74"
Brazil,4130,JFE Lion,Ni Plating,157,136,21,"$1,781.00",47105.04025,1.8,1.15,1.05,"$51,238,600.96"
Singapore,4130,TenarisHydril Blue®,Carbide Coating,127,126,4,"$1,473.45",1583.362697,1.8,1.17,1.1,"$1,518,704.17"
Europe,F22,JFE Lion,Phosphating,2,52,10,"$2,400.00",4084.07045,2.5,1.15,1,"$7,918,604.19"
USA,4130,VAM TOP®,Xylan Coating,149,10,18,"$1,690.50",2544.690049,1.8,1.2,1.01,"$2,637,129.83"
Singapore,4130,JFE Lion,Cu Plating,155,45,3,"$1,473.45",318.0862562,1.8,1.15,1.02,"$278,071.93"
Brazil,F22,TenarisHydril Blue®,Cu Plating,138,131,8,"$2,379.00",6584.778202,2.5,1.17,1.02,"$13,133,121.29"
Romania,4130,VAM TOP®,Carbide Coating,79,55,32,"$1,609.20",44233.62456,1.8,1.2,1.1,"$47,524,253.92"
USA,F22,VAM TOP®,Xylan Coating,141,82,30,"$2,528.07",57962.38446,2.5,1.2,1.01,"$124,762,562.63"
Europe,F22,TenarisHydril Blue®,Phosphating,79,23,38,"$2,400.00",26084.6438,2.5,1.17,1,"$51,455,090.06"
Europe,F22,JFE Lion,Xylan Coating,112,113,34,"$2,400.00",102594.9913,2.5,1.15,1.01,"$200,910,642.89"
Romania,F22,TenarisHydril Blue®,Xylan Coating,34,94,40,"$2,415.00",118123.8838,2.5,1.17,1.01,"$236,814,568.91"
Romania,F22,VAM TOP®,Ni Plating,128,16,7,"$2,415.00",615.7521601,2.5,1.2,1.05,"$1,316,254.75"
Romania,4130,TenarisHydril Blue®,Phosphating,42,67,36,"$1,609.20",68197.69332,1.8,1.17,1,"$64,944,801.88"
USA,F22,TenarisHydril Blue®,Ni Plating,159,98,10,"$2,528.07",7696.902001,2.5,1.17,1.05,"$16,792,932.47"
Brazil,4130,JFE Lion,Carbide Coating,155,126,7,"$1,781.00",4849.048261,1.8,1.15,1.1,"$5,525,731.48"
Romania,4130,TenarisHydril Blue®,Xylan Coating,34,99,40,"$1,609.20",124407.0691,1.8,1.17,1.01,"$119,657,835.63"
Singapore,F22,TenarisHydril Blue®,Cu Plating,17,31,31,"$2,215.29",23397.79669,2.5,1.17,1.02,"$43,454,815.67"
China,4130,VAM TOP®,Carbide Coating,61,80,30,"$1,370.00",56548.66776,1.8,1.2,1.1,"$51,724,428.54"
India,4130,JFE Lion,Xylan Coating,179,14,9,"$1,190.00",890.6415173,1.8,1.15,1.01,"$622,655.65"
Europe,F22,VAM TOP®,Carbide Coating,47,58,27,"$2,400.00",33208.20514,2.5,1.2,1.1,"$73,905,524.71"
Singapore,F22,VAM TOP®,Xylan Coating,50,92,3,"$2,215.29",650.3096793,2.5,1.2,1.01,"$1,226,590.94"
Brazil,F22,JFE Lion,Carbide Coating,75,98,13,"$2,379.00",13007.76438,2.5,1.15,1.1,"$27,500,080.04"
Romania,F22,TenarisHydril Blue®,Phosphating,22,107,5,"$2,415.00",2100.940087,2.5,1.17,1,"$4,170,258.66"
China,4130,VAM TOP®,Carbide Coating,77,39,28,"$1,370.00",24014.33424,1.8,1.2,1.1,"$21,965,640.65"
Romania,F22,JFE Lion,Xylan Coating,9,58,25,"$2,415.00",28470.68342,2.5,1.15,1.01,"$56,102,287.58"
Romania,4130,JFE Lion,Phosphating,116,47,20,"$1,609.20",14765.48547,1.8,1.15,1,"$13,820,839.38"
Europe,4130,JFE Lion,Carbide Coating,34,108,3,"$1,470.00",763.4070148,1.8,1.15,1.1,"$718,030.40"
India,F22,VAM TOP®,Carbide Coating,32,33,37,"$1,998.00",35481.93283,2.5,1.2,1.1,"$65,738,987.83"
China,4130,TenarisHydril Blue®,Carbide Coating,84,77,6,"$1,370.00",2177.123709,1.8,1.17,1.1,"$1,941,605.74"
Singapore,F22,JFE Lion,Xylan Coating,150,61,16,"$2,215.29",12264.77772,2.5,1.15,1.01,"$22,169,495.56"
India,F22,JFE Lion,Xylan Coating,185,63,26,"$1,998.00",33448.53698,2.5,1.15,1.01,"$54,530,333.45"
Europe,4130,VAM TOP®,Cu Plating,52,140,4,"$1,470.00",1759.291886,1.8,1.2,1.02,"$1,601,089.01"
Romania,F22,JFE Lion,Ni Plating,43,137,30,"$2,415.00",96839.59355,2.5,1.15,1.05,"$198,382,592.34"
Romania,4130,VAM TOP®,Xylan Coating,109,52,27,"$1,609.20",29772.87358,1.8,1.2,1.01,"$29,370,559.65"
China,4130,TenarisHydril Blue®,Xylan Coating,144,87,31,"$1,370.00",65664.78425,1.8,1.17,1.01,"$53,769,890.16"
Europe,4130,JFE Lion,Carbide Coating,73,7,28,"$1,470.00",4310.265121,1.8,1.15,1.1,"$4,054,064.64"
India,4130,VAM TOP®,Phosphating,99,8,34,"$1,190.00",7263.362215,1.8,1.2,1,"$5,246,198.69"
India,F22,TenarisHydril Blue®,Xylan Coating,163,70,26,"$1,998.00",37165.04109,2.5,1.17,1.01,"$61,642,985.64"
India,4130,JFE Lion,Ni Plating,32,92,21,"$1,190.00",31865.17429,1.8,1.15,1.05,"$23,159,502.40"
Singapore,4130,JFE Lion,Carbide Coating,58,70,11,"$1,473.45",6652.322444,1.8,1.15,1.1,"$6,271,595.58"
India,F22,TenarisHydril Blue®,Ni Plating,43,17,27,"$1,998.00",9733.439439,2.5,1.17,1.05,"$16,783,529.81"
Singapore,F22,TenarisHydril Blue®,Phosphating,175,28,17,"$2,215.29",6355.441938,2.5,1.17,1,"$11,572,002.87"
India,F22,VAM TOP®,Ni Plating,28,24,29,"$1,998.00",15852.47653,2.5,1.2,1.05,"$28,035,575.56"
Brazil,F22,VAM TOP®,Ni Plating,176,9,29,"$2,379.00",5944.678699,2.5,1.2,1.05,"$12,518,137.06"
India,4130,VAM TOP®,Xylan Coating,130,72,13,"$1,190.00",9556.724852,1.8,1.2,1.01,"$6,971,680.70"
India,F22,TenarisHydril Blue®,Xylan Coating,176,62,12,"$1,998.00",7012.034803,2.5,1.17,1.01,"$11,630,358.74"
India,F22,TenarisHydril Blue®,Cu Plating,3,58,36,"$1,998.00",59036.80915,2.5,1.17,1.02,"$98,889,623.28"
India,F22,JFE Lion,Ni Plating,112,83,32,"$1,998.00",66752.5607,2.5,1.15,1.05,"$113,134,974.23"
Romania,4130,JFE Lion,Cu Plating,53,65,6,"$1,609.20",1837.831702,1.8,1.15,1.02,"$1,754,658.48"
Europe,F22,JFE Lion,Cu Plating,32,38,11,"$2,400.00",3611.260755,2.5,1.15,1.02,"$7,141,910.95"
Europe,4130,VAM TOP®,Ni Plating,196,104,37,"$1,470.00",111821.8489,1.8,1.2,1.05,"$104,759,489.56"
China,F22,JFE Lion,Ni Plating,95,108,3,"$1,830.00",763.4070148,2.5,1.15,1.05,"$1,185,060.99"
Romania,4130,VAM TOP®,Ni Plating,176,21,30,"$1,609.20",14844.02529,1.8,1.2,1.05,"$15,223,379.70"
Singapore,4130,TenarisHydril Blue®,Carbide Coating,178,75,18,"$1,473.45",19085.17537,1.8,1.17,1.1,"$18,305,809.14"
USA,4130,TenarisHydril Blue®,Cu Plating,131,67,19,"$1,690.50",18996.42538,1.8,1.17,1.02,"$19,384,380.21"
Singapore,F22,VAM TOP®,Ni Plating,107,30,1,"$2,215.29",23.5619449,2.5,1.2,1.05,"$46,201.77"
China,4130,JFE Lion,Phosphating,38,20,22,"$1,370.00",7602.654222,1.8,1.15,1,"$6,058,463.16"
Romania,F22,TenarisHydril Blue®,Ni Plating,147,15,39,"$2,415.00",17918.8591,2.5,1.17,1.05,"$37,346,420.17"
China,4130,TenarisHydril Blue®,Phosphating,37,60,8,"$1,370.00",3015.928947,1.8,1.17,1,"$2,445,154.80"
China,F22,TenarisHydril Blue®,Cu Plating,3,131,39,"$1,830.00",156491.3695,2.5,1.17,1.02,"$240,089,873.56"
India,4130,JFE Lion,Cu Plating,4,44,13,"$1,190.00",5840.220743,1.8,1.15,1.02,"$4,123,377.16"
China,4130,VAM TOP®,Cu Plating,41,66,25,"$1,370.00",32397.67424,1.8,1.2,1.02,"$27,478,602.66"
Europe,4130,VAM TOP®,Ni Plating,43,83,22,"$1,470.00",31551.01502,1.8,1.2,1.05,"$29,558,339.99"
China,4130,VAM TOP®,Carbide Coating,82,75,16,"$1,370.00",15079.64474,1.8,1.2,1.1,"$13,793,180.94"
Brazil,4130,TenarisHydril Blue®,Ni Plating,8,55,31,"$1,781.00",41512.21993,1.8,1.17,1.05,"$45,940,303.90"
Europe,4130,VAM TOP®,Phosphating,55,113,20,"$1,470.00",35499.99699,1.8,1.2,1,"$31,674,204.91"
India,F22,JFE Lion,Xylan Coating,62,83,9,"$1,998.00",5280.231853,2.5,1.15,1.01,"$8,608,233.11"
Romania,4130,VAM TOP®,Ni Plating,54,68,6,"$1,609.20",1922.654704,1.8,1.2,1.05,"$1,971,790.13"
Europe,F22,JFE Lion,Phosphating,173,39,11,"$2,400.00",3706.293933,2.5,1.15,1,"$7,186,133.31"
China,F22,JFE Lion,Carbide Coating,88,11,23,"$1,830.00",4570.231913,2.5,1.15,1.1,"$7,432,350.50"
Brazil,4130,TenarisHydril Blue®,Xylan Coating,135,66,12,"$1,781.00",7464.424145,1.8,1.17,1.01,"$7,945,958.44"
USA,4130,VAM TOP®,Ni Plating,198,134,40,"$1,690.50",168389.3662,1.8,1.2,1.05,"$181,417,512.41"
USA,4130,JFE Lion,Xylan Coating,199,40,27,"$1,690.50",22902.21044,1.8,1.15,1.01,"$22,745,244.79"
Singapore,4130,TenarisHydril Blue®,Xylan Coating,162,50,34,"$1,473.45",45396.01384,1.8,1.17,1.01,"$39,979,668.01"
India,4130,TenarisHydril Blue®,Carbide Coating,50,121,11,"$1,190.00",11499.01451,1.8,1.17,1.1,"$8,907,687.14"
Romania,4130,JFE Lion,Cu Plating,100,44,11,"$1,609.20",4181.459822,1.8,1.15,1.02,"$3,992,222.97"
China,F22,VAM TOP®,Phosphating,63,77,22,"$1,830.00",29270.21875,2.5,1.2,1,"$45,154,873.77"
Europe,F22,JFE Lion,Xylan Coating,13,80,29,"$2,400.00",52841.58843,2.5,1.15,1.01,"$103,479,101.37"
Singapore,F22,TenarisHydril Blue®,Ni Plating,98,76,38,"$2,215.29",86192.73604,2.5,1.17,1.05,"$164,786,922.59"
Singapore,F22,VAM TOP®,Ni Plating,96,128,3,"$2,215.29",904.7786842,2.5,1.2,1.05,"$1,774,147.90"
Singapore,4130,TenarisHydril Blue®,Phosphating,91,130,12,"$1,473.45",14702.65362,1.8,1.17,1,"$12,820,229.97"
Romania,F22,TenarisHydril Blue®,Ni Plating,185,27,10,"$2,415.00",2120.575041,2.5,1.17,1.05,"$4,419,694.69"
Brazil,4130,TenarisHydril Blue®,Carbide Coating,120,101,15,"$1,781.00",17848.17326,1.8,1.17,1.1,"$20,692,600.09"
India,F22,TenarisHydril Blue®,Cu Plating,17,140,14,"$1,998.00",21551.3256,2.5,1.17,1.02,"$36,099,553.84"
USA,F22,JFE Lion,Carbide Coating,105,134,38,"$2,528.07",151971.403,2.5,1.15,1.1,"$341,419,106.98"
China,4130,TenarisHydril Blue®,Carbide Coating,154,117,22,"$1,370.00",44475.5272,1.8,1.17,1.1,"$39,664,231.47"
China,F22,TenarisHydril Blue®,Xylan Coating,34,107,11,"$1,830.00",10168.55002,2.5,1.17,1.01,"$15,447,694.90"
Singapore,4130,TenarisHydril Blue®,Cu Plating,138,119,17,"$1,473.45",27010.62824,1.8,1.17,1.02,"$24,023,426.25"
India,4130,TenarisHydril Blue®,Carbide Coating,117,51,12,"$1,190.00",5767.964112,1.8,1.17,1.1,"$4,468,141.14"
India,4130,JFE Lion,Xylan Coating,64,101,31,"$1,190.00",76231.53114,1.8,1.15,1.01,"$53,294,162.69"
Europe,F22,TenarisHydril Blue®,Cu Plating,149,22,14,"$2,400.00",3386.636881,2.5,1.17,1.02,"$6,814,158.60"
China,4130,TenarisHydril Blue®,Carbide Coating,186,110,39,"$1,370.00",131404.9667,1.8,1.17,1.1,"$117,189,774.79"
Singapore,4130,TenarisHydril Blue®,Cu Plating,74,15,2,"$1,473.45",47.1238898,1.8,1.17,1.02,"$41,912.29"
USA,4130,VAM TOP®,Xylan Coating,158,112,15,"$1,690.50",19792.03372,1.8,1.2,1.01,"$20,511,009.80"
Singapore,F22,VAM TOP®,Cu Plating,14,13,38,"$2,215.29",14743.49432,2.5,1.2,1.02,"$28,083,986.81"
Singapore,4130,VAM TOP®,Phosphating,74,91,7,"$1,473.45",3502.090411,1.8,1.2,1,"$3,132,007.75"
Brazil,F22,JFE Lion,Cu Plating,130,130,40,"$2,379.00",163362.818,2.5,1.15,1.02,"$320,252,109.45"
India,4130,JFE Lion,Carbide Coating,200,10,21,"$1,190.00",3463.605901,1.8,1.15,1.1,"$2,637,210.42"
China,F22,TenarisHydril Blue®,Carbide Coating,66,26,14,"$1,830.00",4002.389041,2.5,1.17,1.1,"$6,622,092.85"
India,F22,TenarisHydril Blue®,Cu Plating,113,64,38,"$1,998.00",72583.35667,2.5,1.17,1.02,"$121,580,771.40"
Singapore,4130,TenarisHydril Blue®,Cu Plating,181,112,19,"$1,473.45",31755.21854,1.8,1.17,1.02,"$28,243,295.35"
China,4130,TenarisHydril Blue®,Carbide Coating,128,139,23,"$1,370.00",57751.11235,1.8,1.17,1.1,"$51,503,683.76"
Singapore,F22,VAM TOP®,Cu Plating,33,62,8,"$2,215.29",3116.459912,2.5,1.2,1.02,"$5,936,355.19"
Romania,F22,VAM TOP®,Cu Plating,166,53,11,"$2,415.00",5036.758422,2.5,1.2,1.02,"$10,459,140.64"
